Cititec Talent,"Software Engineer
Software Engineer",https://www.linkedin.com/jobs/view/3951970389/,EMEA (Remote),2024-07-11 00:09:04.604329
HIRO-MicroDataCenters BV,"Full Stack Engineer
Full Stack Engineer",https://www.linkedin.com/jobs/view/3965368940/,EMEA (Remote),2024-07-11 00:10:38.368624
PowerUp Talent,"Back End Developer
Back End Developer",https://www.linkedin.com/jobs/view/3962697444/,EMEA (Remote),2024-07-11 00:12:28.046371
Cititec Talent,"Software Engineer
Software Engineer",https://www.linkedin.com/jobs/view/3951970389/,EMEA (Remote),2024-07-11 11:03:14.876890
Troi,"Senior Software Engineer (Crypto)
Senior Software Engineer (Crypto)",https://www.linkedin.com/jobs/view/3942081729/,EMEA (Remote),2024-07-11 11:23:07.683503
Action1,"Back End Developer (Node.js, SQL)
Back End Developer (Node.js, SQL)",https://www.linkedin.com/jobs/view/3928421994/,EMEA (Remote),2024-07-11 11:35:47.905728
Nemko,"Artificial Intelligence Engineer - Trustwothy AI
Artificial Intelligence Engineer - Trustwothy AI with verification",https://www.linkedin.com/jobs/view/3964310986/,EMEA (Remote),2024-07-11 11:36:37.201177
InterEx Group,"Cloud System Engineer
Cloud System Engineer with verification",https://www.linkedin.com/jobs/view/3958973697/,EMEA (Remote),2024-07-11 11:43:00.295270
Cuso International,"Graphics Designer and Content Developer (E-Volunteer)
Graphics Designer and Content Developer (E-Volunteer)",https://www.linkedin.com/jobs/view/3848807846/,"Addis Ababa, Addis Ababa, Ethiopia (Remote)",2024-07-11 20:46:02.225309
MoveUp Media,"News Writer Crypto and Web3
News Writer Crypto and Web3",https://www.linkedin.com/jobs/view/3954140908/,EMEA (Remote),2024-07-11 20:50:36.984456
TimesOfAI,"Journalist
Journalist",https://www.linkedin.com/jobs/view/3947875314/,,2024-07-11 20:51:42.592714
CryptoNewsZ,"Journalist
Journalist",https://www.linkedin.com/jobs/view/3947862455/,,2024-07-11 20:51:53.986202
Penta Consulting,"Software Specialist
Software Specialist with verification",https://www.linkedin.com/jobs/view/3964523184/,EMEA (Remote),2024-07-11 21:16:41.437122
Crossover,"Software Development Engineer, Totogi (Remote) - $60,000/year USD
Software Development Engineer, Totogi (Remote) - $60,000/year USD with verification",https://www.linkedin.com/jobs/view/3971838350/,"Addis Ababa, Addis Ababa, Ethiopia (Remote)",2024-07-12 05:58:39.230256
Carry1st,"Lead Unity Engineer
Lead Unity Engineer",https://www.linkedin.com/jobs/view/3961544130/,Ethiopia (Remote),2024-07-12 06:14:08.258727
Currency Solutions,"Bitrix Developer
Bitrix Developer with verification",https://www.linkedin.com/jobs/view/3972640223/,EMEA (Remote),2024-07-12 08:44:52.060637
Cuso International,"Graphics Designer and Content Developer (E-Volunteer)
Graphics Designer and Content Developer (E-Volunteer)",https://www.linkedin.com/jobs/view/3848807846/,"Addis Ababa, Addis Ababa, Ethiopia (Remote)",2024-07-12 10:26:56.641819
"o9 Solutions, Inc.","Solutions Architect
Solutions Architect",https://www.linkedin.com/jobs/view/3958799567/,EMEA (Remote),2024-07-12 21:30:49.911556
Zero to One Search | Recruitment Agency,"Full Stack Developer (web3)
Full Stack Developer (web3)",https://www.linkedin.com/jobs/view/3973691736/,EMEA (Remote),2024-07-12 21:38:37.666829
Cuso International,"Graphics Designer and Content Developer (E-Volunteer)
Graphics Designer and Content Developer (E-Volunteer)",https://www.linkedin.com/jobs/view/3848807846/,"Addis Ababa, Addis Ababa, Ethiopia (Remote)",2024-07-15 22:45:36.190677
Career.io,"Python Developer (Machine Learning Engineer)
Python Developer (Machine Learning Engineer)",https://www.linkedin.com/jobs/view/3975224394/,EMEA (Remote),2024-07-15 22:48:58.165972
consultingheads,"ServiceNow Developer (w/m/d)
ServiceNow Developer (w/m/d)",https://www.linkedin.com/jobs/view/3969826076/,EMEA (Remote),2024-07-15 22:54:41.080844
Cuso International,"Graphics Designer and Content Developer (E-Volunteer)
Graphics Designer and Content Developer (E-Volunteer)",https://www.linkedin.com/jobs/view/3848807846/,"Addis Ababa, Addis Ababa, Ethiopia (Remote)",2024-07-16 11:42:09.380306
TransPerfect,"Freelance Final Eye Specialist/ Proof-Reader - Arabic language
Freelance Final Eye Specialist/ Proof-Reader - Arabic language with verification",https://www.linkedin.com/jobs/view/3968349558/,EMEA (Remote),2024-07-16 11:42:42.892951
Cititec Talent,"Software Engineer
Software Engineer",https://www.linkedin.com/jobs/view/3976054877/,EMEA (Remote),2024-07-22 04:21:21.278148
Draftable,"Senior Software Engineer - Algorithms (Global)
Senior Software Engineer - Algorithms (Global)",https://www.linkedin.com/jobs/view/3979592724/,EMEA (Remote),2024-07-22 12:20:15.482198
Career.io,"Backend Engineer- Ruby
Backend Engineer- Ruby",https://www.linkedin.com/jobs/view/3980422605/,EMEA (Remote),2024-07-22 12:51:03.668760
Christy Media Solutions,"Sales Engineer
Sales Engineer with verification",https://www.linkedin.com/jobs/view/3959719367/,EMEA (Remote),2024-07-22 12:52:40.736745
Crossover,"Development Team Lead, gt.school (Remote) - $100,000/year USD
Development Team Lead, gt.school (Remote) - $100,000/year USD with verification",https://www.linkedin.com/jobs/view/3976437253/,"Addis Ababa, Addis Ababa, Ethiopia (Remote)",2024-07-22 12:53:28.868915
Hikvision,"Technical Support Engineer
Technical Support Engineer with verification",https://www.linkedin.com/jobs/view/3972316992/,"Addis Ababa, Ethiopia (On-site)",2024-07-22 12:57:30.791741
